State_Name,SL_No,District_Name,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC,BPL_Appr.(C+S+B),BPL_Exp.(C+S+B),BPL_(%)_age,School_Appr.(C+S+B),School_Exp.(C+S+B),School_(%)_age,Anganwadi_Appr.(C+S+B),Anganwadi_Exp.(C+S+B),Anganwadi_(%)_age,Sanitary_Complex_Appr.(C+S+B),Sanitary_Complex_Exp.(C+S+B),Sanitary_Complex_(%)_age,IHHL_BPL_Ach_SC,IHHL_BPL_Ach_ST,IHHL_BPL_Ach_General,IHHL_BPL_Ach_PH,IHHL_BPL_Ach_%_SC_ST,IHHL_APL_Ach_SC,IHHL_APL_Ach_ST,IHHL_APL_Ach_Small_Marginal_Farmers,IHHL_APL_Ach_Landless_Labourers,IHHL_APL_Ach_PH,IHHL_APL_Ach_Women_Headed_Households,Rural_Households,Census_2001_IHHL
HIMACHAL PRADESH,6,KULLU,1145.97,776.61,296.66,72.70,731.54,279.45,30.11,1041.10,600.65,236.84,28.88,866.36,9989,41986,51975,150,1150,956,2,0,9990,45960,55950,148,1150,942,0,0,256.18,243.40,95.01,324.51,280.85,86.55,75.61,12.39,16.39,300.00,221.24,73.75,4507,160,5305,18,46.72,55,2,367,13,0,18,84501,16182
HIMACHAL PRADESH,7,LAHAUL & SPITI,154.05,103.22,41.47,9.36,58.80,23.07,0.00,81.87,46.70,19.23,0.00,65.93,2413,3049,5462,4,263,112,1,0,2413,3049,5462,4,263,112,1,0,71.89,0.00,0.00,58.16,11.95,20.55,5.70,2.10,36.84,0.80,41.11,100.00,540,1873,0,0,100.00,0,0,0,0,0,0,6695,5425
HIMACHAL PRADESH,8,MANDI,2287.10,1359.93,627.46,299.71,1574.04,627.46,268.90,2470.39,1315.15,606.15,268.66,2189.96,34407,117797,152204,100,3409,224,10,0,34418,117836,152254,144,3581,132,5,0,721.89,724.84,100.00,861.34,849.33,98.61,17.76,13.00,73.20,200.00,182.08,91.04,13642,747,19794,0,41.81,9,4,19,0,0,7,204051,46112
HIMACHAL PRADESH,9,SHIMLA,1864.86,1293.65,452.59,118.62,1345.43,452.59,129.74,1927.76,1211.58,439.50,118.62,1769.70,23874,53231,77105,70,2489,923,10,0,25020,55599,80619,70,2489,840,0,0,546.91,546.91,100,634.89,634.89,100,58.06,47.10,81.12,140.00,140.00,100,11970,0,13050,0,47.84,0,0,0,0,0,0,130864,27624
HIMACHAL PRADESH,10,SIRMAUR,2707.19,1875.30,686.50,145.39,1497.98,541.79,65.29,2105.06,1257.84,475.24,64.59,1797.67,13753,44978,58731,264,2804,223,6,0,13671,70127,83798,77,2018,223,6,2,359.79,321.81,89.44,1026.99,874.72,85.17,21.32,20.45,95.92,463.20,222.50,48.04,4972,305,8394,29,38.60,450,33,511,7,10,101,84317,16831
HIMACHAL PRADESH,11,SOLAN,1265.26,845.41,339.09,80.76,717.24,257.53,122.14,1096.91,545.03,206.85,58.46,810.34,10858,38230,49088,225,1288,1244,4,0,10883,38251,49134,223,1288,1244,1,0,230.58,232.68,100.00,380.26,257.26,67.65,101.42,29.90,29.48,375.00,120.66,32.18,4902,1418,4563,0,58.07,0,10,0,0,0,0,97237,26150
HIMACHAL PRADESH,12,UNA,754.28,526.30,189.50,38.48,564.46,189.50,115.12,869.08,430.59,178.16,33.45,642.20,8360,44752,53112,25,850,695,2,0,8361,44752,53113,25,850,695,5,0,220.60,198.69,90.07,277.67,244.92,88.21,60.26,34.75,57.67,50.00,50.00,100,2897,130,5334,0,36.20,10065,8873,0,0,0,0,99791,23077
JAMMU & KASHMIR,1,ANANTNAG,3493.37,2440.13,763.10,290.14,1425.64,398.64,1343.81,3168.10,1418.90,384.06,247.36,2050.31,75476,18061,93537,50,1315,75,3,0,66817,21269,88086,50,1315,9,0,0,2330.61,1659.47,71.20,265.03,262.39,99.00,7.12,0.45,6.32,100.00,89.32,89.32,0,0,66817,0,0.00,0,0,0,0,0,0,109465,63834
JAMMU & KASHMIR,2,BANDIPORA,962.47,670.15,234.65,57.67,303.21,137.70,174.77,615.68,292.40,74.56,7.15,374.12,13100,31466,44566,10,360,10,10,0,8085,132,8217,9,164,0,0,0,524.00,309.92,59.15,138.60,41.14,29.68,1.00,0.00,0.00,20.00,13.45,67.25,0,1058,7000,27,13.09,0,50,45,0,4,0,47620,15488
JAMMU & KASHMIR,3,BARAMULLA,3299.59,2327.66,737.86,234.07,1280.80,308.90,176.44,1766.14,1182.50,307.26,171.80,1661.56,68290,64211,132501,52,1164,22,8,0,35558,18302,53860,49,1164,2,0,0,2443.26,1289.90,52.79,244.27,240.98,98.65,2.20,0.20,9.09,75.41,65.62,87.02,0,7493,28065,0,21.07,0,0,0,0,0,0,119791,91281
JAMMU & KASHMIR,4,BUDGAM,2463.41,1733.42,563.73,166.26,1032.54,295.51,133.04,1461.09,944.83,288.32,130.46,1363.62,47801,24580,72381,77,1296,37,6,0,25179,8857,34036,77,1205,6,0,0,1740.14,931.14,53.51,327.10,263.58,80.58,3.42,0.25,7.31,105.39,61.89,58.72,0,2084,23095,0,8.28,0,0,0,0,0,0,86083,55364
JAMMU & KASHMIR,5,DODA,4129.34,2917.00,986.64,225.70,1692.34,391.40,283.24,2366.98,1520.60,357.58,161.21,2039.39,73029,25779,98808,50,4033,23,10,4,44075,10131,54206,100,2827,20,0,0,2302.03,1197.48,52.02,1174.76,691.58,58.87,1.32,0.72,54.55,100.00,22.29,22.29,1702,1909,11676,0,8.19,0,0,0,0,0,0,72580,14150
JAMMU & KASHMIR,6,JAMMU,3159.33,2207.31,748.84,203.18,1391.32,397.06,165.75,1954.13,1340.28,369.05,157.72,1867.05,50950,113373,164323,50,2607,36,6,0,19208,31451,50659,50,2165,36,2,0,1900.56,1046.41,55.06,664.03,467.39,70.39,2.96,2.90,97.97,75.00,100.00,100.00,0,0,0,0,0.00,0,0,0,0,0,0,155851,43876
